date,total_trips,total_revenue
2021-04-26,65519,1174851.0900006073
2021-10-08,114762,2336670.760000686
2021-10-21,117885,2400436.0800005007
2021-11-01,101165,2073655.2000015054
2021-12-18,106184,2086207.890001577
2020-04-25,6589,101090.67000000647
2020-01-31,233570,4428612.229991726
2021-07-07,92586,1759221.220001279
2021-07-12,80960,1583910.2400010447
2021-07-31,87975,1710775.5600011933
2021-08-01,68762,1425665.640000798
2021-05-01,76514,1348088.2800008273
2021-03-21,42148,757139.1100001354
2020-10-05,43904,730250.0900001164
2020-10-31,55131,890026.4000003308
2020-11-03,45483,714109.1700001055
2020-11-25,47590,779965.0100002015
2020-12-07,46634,745678.030000146
2021-01-31,29070,481276.06999989355
2021-02-12,58604,988646.7000004222
2021-02-16,46878,788260.1500001814
2021-02-20,48252,786782.9600001966
2021-02-23,52581,869158.4000002834
2021-01-06,45470,745340.5600001323
2020-08-31,33154,570190.9499999274
2020-09-17,49190,822683.4800002269
2020-08-10,30000,503174.15999987087
2020-08-11,32681,535792.5299998805
2020-08-15,27420,471634.189999891
2020-06-11,16019,265082.49999996444
2020-05-04,8771,565661.6000000283
2020-05-09,6904,107779.41000000792
2020-05-20,11094,181193.66999999242
2020-01-04,181078,3245544.7499963474
2020-01-16,236855,4439401.699992001
2020-02-16,163805,3002227.84999753
2021-09-03,89353,1868112.9100013368
2021-06-03,92043,1715630.2400011832
2021-06-21,86230,1625327.3800011433
2021-08-10,91473,1728757.1000012353
2021-04-19,62858,1107256.2000005418
2021-04-22,79270,1381873.930000851
2021-04-25,46573,868245.8400002138
2021-10-02,109758,2102262.770001606
2021-10-11,83427,1727387.6300011063
2021-12-03,130878,2708412.259999267
2021-12-16,121573,2550340.6999998945
2020-04-21,7359,113619.45000000813
2020-03-14,88072,1493427.3500011622
2021-05-26,88751,1654804.1700011205
2021-05-24,77336,1434950.990000882
2021-03-14,41226,713341.6400000919
2021-03-29,53713,919019.470000342
2020-02-24,195228,3768984.3399950154
2021-11-15,110103,2298587.4700008654
2021-09-10,103646,2146569.0200013476
2021-09-15,101543,1960008.4600014
2021-08-03,89114,1714394.670001204
2021-08-25,93580,1796053.000001277
2021-04-02,67817,1158064.3000006282
2021-04-08,72437,1285745.6400007382
2021-04-12,65044,1148683.220000592
2020-10-17,49677,818309.1100002335
2020-10-28,58539,963370.3600004028
2020-11-08,39507,681398.2500000707
2020-12-14,47319,764798.5600001694
2020-12-27,23963,442365.3599999141
2021-02-04,54131,964709.5700003727
2021-02-18,34849,560580.4099999196
2021-01-30,36823,595520.299999961
2020-08-13,32994,558635.169999912
2020-08-14,34110,776397.0600001792
2020-07-06,22471,391821.7999999168
2020-07-16,26805,457036.4299998924
2020-07-18,19825,337035.78999993845
2020-07-30,31322,522103.76999986597
2020-06-12,17995,306786.8199999504
2020-04-18,5393,84974.56000000474
2021-10-18,99562,2016792.330001439
2020-03-18,35096,609708.9099999808
2020-03-28,7334,114403.21000000862
2021-07-16,97879,1912571.7700014317
2021-07-20,87572,1663853.7900011493
2021-05-03,70097,1255571.7600006985
2021-03-03,58229,957130.2800003878
2021-03-16,60507,997112.4900004508
2020-10-29,60464,1002961.8000004415
2020-12-26,26448,837668.2600004039
2021-01-05,42819,714488.8000000967
2021-01-12,45812,745298.4500001348
2020-08-09,20076,361759.639999937
2020-08-28,36694,628705.289999998
2020-07-01,23390,400963.3999999154
2020-05-10,6159,101858.4900000058
2020-05-25,6643,110272.19000000661
2020-02-05,228981,4214997.299993078
2020-01-06,174967,3298378.579996717
2020-01-09,226757,4201153.549992929
2020-01-11,214824,3864780.2299938016
2020-02-18,187817,3563162.569995738
2021-11-07,95487,2066237.6000013168
2021-09-07,83980,1681330.6800011138
2021-06-19,91473,1676603.1000012276
2021-08-11,95609,1791979.640001334
2021-12-12,102958,2276345.1200008104
2021-12-15,120295,2463295.6500001606
2020-01-28,213147,3891348.3299943423
2020-03-27,11357,183568.0899999896
2021-07-01,89187,1738641.0200012384
2021-07-02,82257,1575522.6400011175
2021-07-19,84596,1660619.5300011626
2021-05-11,78602,1413774.6800008854
2021-06-01,81679,1543434.0700010404
2021-03-20,57969,983681.4400004265
2020-10-01,56096,961774.7000003699
2020-10-26,49356,810467.1900002009
2020-11-14,49357,801861.830000213
2020-12-01,50706,843640.2700002542
2020-12-13,36496,608640.1399999809
2021-02-15,37691,626641.6799999791
2021-02-21,34741,597084.4499999563
2021-01-24,29016,499959.7399998938
2020-09-03,40067,670693.4600000548
2020-09-16,47352,777461.2100001792
2020-07-21,27110,450198.77999989514
2020-07-25,22257,378843.1699999237
2020-04-08,7308,111678.04000000817
2020-01-03,180863,3331217.249995999
2020-01-23,229407,4325767.319992722
2021-11-09,114192,2302973.0300007868
2021-11-12,122725,2493170.390000052
2021-11-23,114915,2388274.2000004645
2021-09-08,97202,1905418.830001358
2021-06-04,90828,1719488.560001194
2021-06-22,94215,1774314.690001283
2021-08-04,93011,1786984.7600012831
2021-04-11,44724,811044.30000017
2021-10-03,86730,1842949.3900011422
2021-10-15,118825,2427031.2400003425
2021-12-19,87741,1838700.2000012412
2020-06-14,9689,180230.20999999472
2020-03-07,206130,3606637.4299946
2020-03-31,8852,143029.75000000457
2020-03-13,131834,2373850.4100004304
2020-04-04,5919,92412.3100000058
2020-01-27,187298,3532608.6999958465
2020-01-30,240262,4542146.839991732
2021-06-16,97288,1822835.3000013398
2021-03-30,61925,1069255.5500005155
2020-11-16,48087,799086.8200002012
2020-11-28,33590,567122.9799999286
2021-02-17,55378,924060.7300003499
2021-02-26,60467,1012567.1100004457
2021-01-25,43369,706821.720000081
2020-08-01,25553,440101.30999990006
2020-08-07,32887,558459.7799999097
2020-06-30,23044,396318.30999991816
2020-07-23,27617,457885.2999998896
2020-05-31,7949,138815.60000000536
2020-06-26,24104,422123.6699999094
2020-05-07,9363,148952.96000000322
2020-05-11,8855,139716.7300000058
2020-01-22,219179,4056850.3199937562
2020-04-28,8190,127060.5000000099
2020-02-22,207962,3682617.2099942635
2021-06-02,88314,1651449.9000011266
2021-08-22,48376,1049539.0100003532
2021-10-01,111539,2263419.600000918
2021-10-05,102265,1969971.1500014092
2021-10-14,117623,2377487.520000552
2021-10-16,116061,2193042.9300012533
2021-05-05,81672,1431935.4600008803
2021-05-14,87304,1626066.7100010787
2021-05-19,86028,1572558.4500010437
2021-03-04,62240,1022192.8800004555
2020-10-02,54890,931331.0800003494
2020-10-19,47081,779257.0000001757
2020-10-20,53055,867999.1900002761
2021-01-20,45657,729506.7100001193
2021-02-05,52876,894296.8700003172
2021-02-08,47476,789862.0800001897
2021-02-22,46342,767111.8500001488
2021-01-13,46909,748433.3600001341
2021-01-22,50040,813983.290000204
2021-01-29,50491,815640.9100002145
2020-09-24,52082,878993.690000286
2020-08-18,33611,569999.239999924
2020-08-23,21647,391146.1299999264
2020-07-13,23888,409056.7499999082
2020-07-14,26084,437572.0199998958
2020-07-27,26539,440205.81999989727
2020-06-08,15208,253366.2099999672
2020-06-25,23591,406476.13999990985
2020-05-19,10784,172595.74999999438
2020-02-04,213446,3910548.4999942374
2020-02-14,255416,4819572.52998938
2020-02-27,253037,4802309.309990559
2021-11-26,87137,1719374.1800011913
2021-09-27,90351,1829856.2100012724
2021-06-24,99766,1945792.590001397
2021-11-30,114873,2400044.8600005335
2021-12-04,126940,2533594.179999899
2020-03-10,181091,4273922.589990985
2020-06-03,12967,214396.74999998327
2020-03-11,179596,3242630.5899969796
2020-03-12,167947,3098980.199997439
2020-03-21,15662,268621.2399999625
2021-02-28,35211,610966.269999969
2021-03-09,57168,940504.8900003715
2021-03-10,59748,994815.6700004303
2021-03-13,57394,955221.2000003966
2021-03-23,58987,991914.3500004326
2020-10-06,49940,823088.0700002192
2021-02-25,56996,963150.3900003746
2021-01-09,37294,626096.8499999986
2021-01-19,47064,770879.2200001645
2020-09-18,50078,844374.8700002563
2020-07-31,31295,554067.3399999143
2020-08-21,35186,601227.1999999665
2020-06-13,12504,212065.51999998212
2020-05-02,7149,109288.5900000078
2020-04-12,4053,65167.22000000247
2020-04-22,7948,123273.10000000938
2020-04-24,8595,132717.58000000945
2020-01-15,214628,4029909.679993889
2021-09-01,81483,1575135.7800010375
2021-09-13,90157,1867586.3300013102
2021-09-29,103629,2002116.3400014103
2021-06-05,93023,1689372.6100012423
2021-06-06,73550,1418149.2300008396
2021-06-27,73184,1489813.170000872
2021-06-08,90812,1693118.2500011597
2021-06-12,89590,1667129.880001172
2021-10-04,92186,1871764.000001254
2021-12-25,38960,829710.7900001862
2021-12-26,52846,1178792.7200004954
2020-06-28,14031,252052.02999997354
2021-07-10,88791,1688692.230001215
2021-05-07,86767,1585702.0700010608
2021-05-21,90324,1693747.450001136
2021-05-23,67706,1286210.880000692
2021-03-18,66416,1511353.0800007773
2021-04-01,67841,1165244.1400006434
2020-10-04,32304,555299.2399999142
2020-10-11,32459,564796.1699999247
2020-11-06,56222,936551.4700003521
2020-12-22,51740,873236.4500003082
2020-12-23,52104,894926.8600003253
2020-12-30,43618,737286.4000001242
2021-02-01,5566,91281.21000000532
2021-01-03,24402,484833.19999990804
2021-01-21,49499,817849.4000002141
2020-09-07,23899,434180.6599999167
2020-08-24,31483,532095.469999879
2020-08-29,26184,444007.6399999027
2020-07-10,21701,365904.8599999237
2020-06-17,18079,303321.30999995105
2020-06-23,22541,378115.33999992005
2020-05-05,8888,144486.9300000045
2020-04-05,4704,76354.95000000355
2021-11-14,104660,2238094.6800010013
2021-09-14,97114,1899154.1200013424
2021-09-21,95032,1875532.2800013039
2021-08-26,95798,1867630.9500013448
2021-04-05,58228,1039057.3200004722
